"","name","ticker","date"
"975","Nordic Nanovector ASA","NANO","2020-08-27T07:00:13.346+02:00"
"976","Polaris Media ASA","POL","2020-08-27T05:00:00Z"
"977","SalMar ASA","SALM","2020-08-27T06:30:04.651+02:00"
"978","SalMar ASA","SALM","2020-08-27T06:30:04.386+02:00"
"979","AqualisBraemar ASA","AQUA","2020-08-27T04:00:00Z"
"980","Team Tankers International Ltd.","TEAM","2020-08-27T00:05:01.954+02:00"
"981","TEMPTON Personaldienstleistungen","TEMP","2020-08-26T18:05:00Z"
"982","Eidesvik Offshore ASA","EIOF","2020-08-26T15:00:00Z"
"983","TiZir Limited","TIZ","2020-08-26T14:00:00Z"
"984","Color Group AS","COLG","2020-08-26T13:00:00Z"
"985","Color Group AS","COLG","2020-08-26T13:00:00Z"
"986","NTS ASA","NTS","2020-08-26T13:14:48.068+02:00"
"987","Avinor AS","AVINOR","2020-08-26T10:21:01.417+02:00"
"988","Avinor AS","AVINOR","2020-08-26T10:21:01.158+02:00"
"989","Nortura Konsernpensjonskasse","NORTKP","2020-08-26T08:30:37.244+02:00"
"990","KISTEFOS AS","KIST","2020-08-26T08:17:30.715+02:00"
"991","KISTEFOS AS","KIST","2020-08-26T08:17:30.699+02:00"
"992","Avance Gas Holding Ltd","AVANCE","2020-08-26T08:00:04.414+02:00"
"993","Vow ASA","VOW","2020-08-26T08:00:03.742+02:00"
"994","Vow ASA","VOW","2020-08-26T08:00:03.523+02:00"
"995","Aqua Bio Technology ASA","ABT","2020-08-26T08:00:02.552+02:00"
"996","Aqua Bio Technology ASA","ABT","2020-08-26T08:00:02.474+02:00"
"997","Solon Eiendom ASA","SOLON","2020-08-26T06:00:00Z"
"998","Sogn og Fjordane Energi AS","SFEN","2020-08-26T05:30:00Z"
"999","Multiconsult ASA","MULTI","2020-08-26T07:00:41.277+02:00"
"1000","NEL ASA","NEL","2020-08-26T07:00:24.4+02:00"
"1001","Webstep ASA","WSTEP","2020-08-26T07:00:23.072+02:00"
"1002","BW Energy Limited","BWE","2020-08-26T07:00:04.6+02:00"
"1003","PCI Biotech Holding ASA","PCIB","2020-08-26T07:00:04.225+02:00"
"1004","Mowi ASA","MOWI","2020-08-26T06:30:07.655+02:00"
"1005","Mowi ASA","MOWI","2020-08-26T06:30:06.763+02:00"
"1006","First Mover Group Holding AS","FMGH","2020-08-25T17:50:15.445+02:00"
"1007","Havila Shipping ASA","HAVI","2020-08-25T15:37:07.167+02:00"
"1008","Havila Shipping ASA","HAVI","2020-08-25T15:37:07.074+02:00"
"1009","Jacob Holm & Sønner Holding A/S","JAHO","2020-08-25T11:32:31.391+02:00"
"1010","Jinhui Shipping and Transport. Ltd","JIN","2020-08-25T08:53:50.426+02:00"
"1011","Magnora ASA","MGN","2020-08-25T06:00:00Z"
"1012","Reach Subsea ASA","REACH","2020-08-25T05:30:00Z"
"1013","S.D. Standard Drilling Plc","SDSD","2020-08-25T05:15:00Z"
"1014","Itera ASA","ITE","2020-08-25T05:15:00Z"
"1015","Itera ASA","ITE","2020-08-25T05:15:00Z"
"1016","Floatel International Ltd","FLOAT","2020-08-25T07:14:34.046+02:00"
"1017","Bouvet ASA","BOUVET","2020-08-25T05:00:00Z"
"1018","Bouvet ASA","BOUVET","2020-08-25T05:00:00Z"
"1019","Magseis Fairfield ASA","MSEIS","2020-08-25T05:00:00Z"
"1020","Norway Royal Salmon ASA","NRS","2020-08-25T06:28:20.608+02:00"
"1021","Norway Royal Salmon ASA","NRS","2020-08-25T06:28:20.593+02:00"
"1022","Jinhui Shipping and Transport. Ltd","JIN","2020-08-25T06:10:19.241+02:00"
"1023","Bakkafrost P/f","BAKKA","2020-08-25T06:00:38.342+02:00"
"1024","Hospitality Invest AS","HOIN","2020-08-24T17:51:04.122+02:00"
"1025","GC Rieber Shipping ASA","RISH","2020-08-24T17:27:56.666+02:00"
"1026","Bjugn Sparebank","BJSP","2020-08-24T10:16:52.018+02:00"
"1027","OBOS Eiendom AS","OBFB","2020-08-24T05:55:00Z"
"1028","Insr Insurance Group ASA","INSR","2020-08-21T14:54:49.367+02:00"
"1029","Grong Sparebank","GRONG-ME","2020-08-21T14:40:15.492+02:00"
"1030","Beerenberg AS","BBERG","2020-08-21T14:20:17.493+02:00"
"1031","Scana ASA","SCANA","2020-08-21T06:35:00Z"
"1032","AF Gruppen ASA","AFG","2020-08-21T06:15:00Z"
"1033","AF Gruppen ASA","AFG","2020-08-21T06:15:00Z"
"1034","DOF ASA","DOF","2020-08-21T08:00:08.081+02:00"
"1035","American Shipping Company ASA","AMSC","2020-08-21T08:00:07.05+02:00"
"1036","Borgestad ASA","BOR","2020-08-21T06:00:00Z"
"1037","Norlandia Health & Care Group AS","NHC","2020-08-21T06:00:00Z"
"1038","Siccar Point Energy Bonds plc","SPEB","2020-08-21T06:00:00Z"
"1039","Ultimovacs ASA","ULTIMO","2020-08-21T06:00:00Z"
"1040","DOF Subsea AS","DOFSUB","2020-08-21T06:00:00Z"
"1041","Gentian Diagnostics AS","GENT-ME","2020-08-21T06:00:00Z"
"1042","Saga Tankers ASA","SAGA","2020-08-21T07:15:02.964+02:00"
"1043","Norwegian Energy Company ASA","NOR","2020-08-21T07:00:32.488+02:00"
"1044","poLight ASA","PLT","2020-08-21T07:00:30.784+02:00"
"1045","Techstep ASA","TECH","2020-08-21T07:00:21.891+02:00"
"1046","Techstep ASA","TECH","2020-08-21T07:00:21.657+02:00"
"1047","Infront ASA","INFRNT","2020-08-21T05:00:00Z"
"1048","AF Gruppen ASA","AFG","2020-08-21T05:00:00Z"
"1049","AF Gruppen ASA","AFG","2020-08-21T05:00:00Z"
"1050","Belships ASA","BEL","2020-08-21T06:12:08.189+02:00"
"1051","Nekkar ASA","NKR","2020-08-20T22:29:31.698+02:00"
"1052","Ørskog Sparebank","ORSP","2020-08-20T21:01:51.585+02:00"
"1053","Statnett SF","STANE","2020-08-20T19:12:48.509+02:00"
"1054","Statnett SF","STANE","2020-08-20T19:12:48.235+02:00"
"1055","Chembulk Holding LLC","CHHO","2020-08-20T18:34:35.853+02:00"
"1056","Salmones Camanchaca S.A.","SALMON","2020-08-20T14:00:18.855+02:00"
"1057","Fredrikstad Energi AS","FEAS","2020-08-20T10:37:00Z"
"1058","Nord-Trøndelag Elektrisitetsverk","NTE","2020-08-20T12:24:04.591+02:00"
"1059","Rem Saltire AS","EFOR","2020-08-20T10:47:15.694+02:00"
"1060","Rem Saltire AS","EFOR","2020-08-20T10:47:15.624+02:00"
"1061","Itera ASA","ITE","2020-08-20T09:54:06.391+02:00"
"1062","Itera ASA","ITE","2020-08-20T09:54:06.196+02:00"
"1063","Arendals Fossekompani ASA","AFK","2020-08-20T08:02:19.844+02:00"
