"","date","title","pageviews","pageviews_mobile","xl","read_time","read_time_total","sentences_count","subject","url","word_count"
"1997",2019-12-04,"Lagmannsretten forkaster Krekars anke: Forsvarer mener oversettelse er full av feil",56205,31430,0,66,2203984,65,"Mulla Krekar;Norge","https://www.nrk.no/norge/lagmannsretten-forkaster-krekars-anke_-forsvarer-mener-oversettelse-er-full-av-feil-1.14807963",924
"1998",2019-12-04,"Beordra ny gjennomgang av dødsskredet på Votlo – no er saka lagt bort igjen",23749,12840,0,36,549103,24,"Flom og ras i Norge","https://www.nrk.no/vestland/beordra-ny-gjennomgang-av-dodsskredet-pa-votlo-_-no-er-saka-lagt-bort-igjen-1.14807956",392
"1999",2019-12-04,"Tilstanden til jentene som ble hentet opp fra sjøen er fremdeles livstruende",30530,19600,0,54,1017890,40,"Troms;Fire personer funnet livløse i havet i Tromsø","https://www.nrk.no/tromsogfinnmark/tilstanden-til-jentene-som-ble-hentet-opp-fra-sjoen-er-fremdeles-livstruende-1.14807987",540
"2000",2019-12-04,"Beisfjord i Narvik har vært isolert i flere dager etter skred",6715,4197,0,43,172638,43,"Nordland;Norge;Siste saker om været i Norge","https://www.nrk.no/nordland/beisfjord-i-narvik-har-vaert-isolert-i-flere-dager-etter-skred-1.14807902",474
"2001",2019-12-04,"Naturgassvekst bidrar til økte klimautslipp",8954,5489,0,52,302040,31,"Norge;Klima og miljø;Olje og gass;Urix","https://www.nrk.no/urix/naturgassvekst-bidrar-til-okte-klimautslipp-1.14804981",481
"2002",2019-12-04,"04.12.2019 Vil ikke ha strengere regler for boliglån",66,35,0,28,1567,1,"Arabisk","https://www.nrk.no/arabisk/04.12.2019-vil-ikke-ha-strengere-regler-for-boliglan-1.14808122",5
"2003",2019-12-04,"Prado og WWF bruker berømte malerier for å illustrere klimaendringer",130520,72556,0,42,3746557,22,"Klima og miljø;Urix","https://www.nrk.no/urix/prado-og-wwf-bruker-beromte-malerier-for-a-illustrere-klimaendringer-1.14807506",352
"2004",2019-12-04,"04.12.2019 Vil ikke ha strengere regler for boliglån",5,1,0,16,65,1,"Dari","https://www.nrk.no/dari/04.12.2019-vil-ikke-ha-strengere-regler-for-boliglan-1.14808128",5
"2005",2019-12-04,"04.12.2019 Vil ikke ha strengere regler for boliglån",12,11,0,9,98,1,"Somalisk","https://www.nrk.no/somalisk/04.12.2019-vil-ikke-ha-strengere-regler-for-boliglan-1.14808137",16
"2006",2019-12-04,"04.12.2019 Vil ikke ha strengere regler for boliglån",6,1,0,14,86,1,"Tigrinja","https://www.nrk.no/tigrinja/04.12.2019-vil-ikke-ha-strengere-regler-for-boliglan-1.14808144",10
"2007",2019-12-04,"Denne gjengen gjør livet ekstra vanskelig for Solskjær",46068,30398,0,74,1937172,81,"Thore Haugstads kommentarer;Premier League 2019/2020","https://www.nrk.no/sport/denne-gjengen-gjor-livet-ekstra-vanskelig-for-solskjaer-1.14801165",1042
